#name, #sex, #score
Yang1, Male, 95
Li1, Female, 92
Luo1, Female, 93
Chen1, Male, 87.5
Gu1, Male, 70
Xie1, Female, 100
Wang1, Male, 59.5
Xu1, Female, 85
Yang2, Male, 95
Li2, Female, 92
Luo2, Female, 93
Chen2, Male, 87.5
Gu2, Male, 70
Xie2, Female, 100
Wang2, Male, 59.5
Xu2, Female, 85
Yang3, Male, 95
Li3, Female, 92
Luo3, Female, 93
Chen3, Male, 87.5
Gu3, Male, 70
Xie3, Female, 100
Wang3, Male, 59.5
Xu3, Female, 85
Yang4, Male, 95
Li4, Female, 92
Luo4, Female, 93
Chen4, Male, 87.5
Gu4, Male, 70
Xie4, Female, 100
Wang4, Male, 59.5
Xu4, Female, 85
